"topic","instruction","output"
"uso da máquina","Depois que eu pago, o refri sai onde?","O refrigerante sai na parte de baixo da máquina, numa bandeja de retirada."
"uso da máquina","A tela voltou sozinha, perdi minha compra?","Se você não tiver pago ainda, é só recomeçar. Se pagou, veja se o produto foi liberado."
"uso da máquina","Se eu clicar errado dá pra voltar?","Dá sim! É só tocar no botão 'voltar' ou esperar a tela reiniciar."
"uso da máquina","Não tô conseguindo mexer na tela com a unha.","Tente usar a ponta do dedo ou uma caneta touch. A tela pode não reconhecer unhas ou luvas grossas."
"uso da máquina","Dá pra usar com uma mão só?","Sim! A navegação na tela e a retirada do produto foram pensadas pra facilitar isso."
"uso da máquina","Tem alguma luz quando o refri cai?","Alguns modelos têm luz ou som indicando que o produto foi liberado."
"uso da máquina","A tela tá meio apagada, será que tá ligada?","Se aparecer alguma mensagem ou imagem, está sim. Toque na tela para ativar o menu."
"uso da máquina","Apertei e nada aconteceu, tá quebrada?","Pode ser que esteja em modo de espera. Toque novamente ou veja se há sinal de manutenção."
"uso da máquina","Tem como usar mesmo sem nunca ter usado uma dessas?","Com certeza! A máquina mostra cada passo. É só seguir o fluxo na tela."
"uso da máquina","Depois que escolho o refri, quanto tempo tenho pra pagar?","Você tem cerca de 1 minuto. Se passar disso, a máquina volta ao início."
"uso da máquina","Dá pra mudar de ideia depois de escolher o sabor?","Sim, se você ainda não tiver pago, pode voltar e escolher outro normalmente."
"uso da máquina","Toquei na tela, mas nada aconteceu.","A tela pode estar em modo de espera ou desativada. Aguarde alguns segundos ou procure outra máquina."
"uso da máquina","Escolhi o refri, mas a máquina travou.","Pode ter ocorrido uma falha. Aguarde a reinicialização ou entre em contato com o suporte."
"uso da máquina","O visor ficou todo branco depois que escolhi.","Isso indica erro no sistema. Evite continuar a operação e contate o suporte."
"uso da máquina","Apertei o botão errado, tem como corrigir?","Sim, antes de pagar você pode voltar ao menu e fazer uma nova escolha."
"uso da máquina","Paguei, mas a tela não mostrou mais nada.","Verifique se o produto foi liberado. Caso não, registre o horário e contate o suporte."
"uso da máquina","A tela congelou no valor do produto.","Aguarde alguns segundos. Se não reiniciar, não prossiga com o pagamento."
"uso da máquina","O menu sumiu do nada.","Pode ter ocorrido um erro de software. Tente tocar na tela novamente ou aguarde a reinicialização."
"uso da máquina","Toquei várias vezes e a máquina não respondeu.","Toques excessivos podem travar a interface. Aguarde a reinicialização automática."
"uso da máquina","Não consegui encontrar o botão de voltar.","O botão geralmente está no canto inferior da tela. Se não aparecer, espere a tela reiniciar."
"uso da máquina","O visor mostra 'erro de seleção', o que significa?","Significa que a escolha não pôde ser processada. Reinicie a operação."
"uso da máquina","A tela ficou preta no meio da compra.","Isso pode ser falha de energia. Não efetue o pagamento e contate o suporte técnico."
"uso da máquina","A máquina me deu um refri sem eu confirmar.","Isso é incomum. Guarde o produto e relate ao suporte com o horário e local."
"uso da máquina","A máquina pediu pra escolher, mas não apareceu nada.","Pode estar sem estoque. Tente novamente ou utilize outra máquina."
"uso da máquina","O botão de confirmar não funcionou.","Tente voltar uma etapa e refazer a seleção. Se persistir, não efetue o pagamento."
"uso da máquina","A tela ficou cinza e não responde.","Pode indicar manutenção ou erro de sistema. Use outra máquina se possível."
"uso da máquina","O visor não mostra imagem, só números.","Isso pode indicar falha gráfica. Evite usar e informe à equipe de suporte."
"uso da máquina","A máquina mostrou 'aguarde' e travou.","Se a mensagem não desaparecer em 1 minuto, interrompa o uso e contate o suporte."
"uso da máquina","Não consigo enxergar o visor direito no sol.","A luz pode prejudicar a leitura. Tente sombrear a tela com a mão para melhorar a visibilidade."
"uso da máquina","A tela reinicia toda hora sozinha.","Esse comportamento pode indicar falha no sistema. Recomendamos não utilizar até a verificação."
"uso da máquina","O refri saiu sem mostrar nenhuma mensagem.","Às vezes o visor falha após o pagamento, mas o sistema continua operando. Se tiver dúvidas, contate o suporte."
"uso da máquina","A tela voltou pro início sem eu apertar nada.","Pode ter sido por inatividade ou erro no sensor. Basta recomeçar a operação."
"uso da máquina","O visor tá rachado, é seguro usar?","Recomendamos não usar a máquina e avisar a equipe responsável imediatamente."
"uso da máquina","A máquina não respondeu nem ao toque e nem ao cartão.","Pode estar fora de operação. Utilize outra unidade se possível."
"uso da máquina","Apareceu uma mensagem de erro no visor.","Anote a mensagem e o horário. Envie para nosso suporte para análise."
"uso da máquina","A tela treme quando eu toco.","Pode haver mau contato no display. Evite usar e informe o problema."
"uso da máquina","A seleção pulou sozinha pro final.","Erro de leitura no toque. Tente reiniciar e usar toques leves e lentos."
"uso da máquina","O visor apagou depois de eu escolher o sabor.","Se o pagamento ainda não foi feito, aguarde ou reinicie. Caso tenha pago, verifique se o produto saiu."
"uso da máquina","A tela demorou muito e achei que tinha travado.","A máquina pode estar lenta por atualização. Aguarde alguns segundos antes de repetir o toque."
"uso da máquina","A tela mostra outro idioma e não entendo nada.","Algumas máquinas mudam o idioma automaticamente. Toque em 'voltar' e procure a opção de idioma na tela inicial."
"uso da máquina","A máquina confirmou a compra, mas não mostrou onde retirar.","O refrigerante sai sempre na parte inferior, em uma bandeja interna logo abaixo da tela."
"uso da máquina","Preciso de alguma instrução antes de usar a máquina?","Não é necessário. A interface da máquina é intuitiva e mostra instruções na tela passo a passo."
"uso da máquina","Essas máquinas são fáceis até pra idosos?","Sim. Elas foram pensadas para uso simples, com tela grande, texto claro e instruções visuais."
"uso da máquina","Se eu não tocar por um tempo, a máquina cancela tudo?","Sim. Após cerca de 60 segundos sem interação, a operação é cancelada automaticamente."
"uso da máquina","É possível usar essa máquina com deficiência visual?","Atualmente a máquina possui apenas interface visual. Estamos estudando melhorias para acessibilidade total."
"uso da máquina","A máquina reconhece comandos de voz?","Não. A interação é exclusivamente por toque na tela ou botões físicos, conforme o modelo."
"uso da máquina","Como saber se a máquina é nova ou antiga?","Máquinas mais novas têm tela sensível ao toque e interface mais moderna. As antigas usam botões físicos."
"uso da máquina","Tem como mudar o idioma da máquina?","Sim. A opção de idioma aparece na tela inicial, geralmente no canto inferior."
"uso da máquina","Posso usar luvas pra tocar na tela?","Pode sim, mas luvas muito espessas ou de tecido podem não ser reconhecidas pelo visor."
"uso da máquina","E se eu tiver com as mãos molhadas?","Evite usar a tela com as mãos molhadas, pois a umidade pode atrapalhar o toque."
"uso da máquina","As máquinas funcionam mesmo com queda de energia?","Não. Em caso de falta de energia, a máquina ficará inoperante até o retorno da alimentação elétrica."
"uso da máquina","O visor da máquina se adapta ao ambiente?","Sim. Ele tem brilho ajustado automaticamente para diferentes condições de luz."
"uso da máquina","Tem alguma animação quando o refri cai?","Alguns modelos mostram uma animação de liberação do produto ao final da compra."
"uso da máquina","A máquina apita quando termina o processo?","Alguns modelos emitem um som discreto para avisar que a operação foi concluída."
"uso da máquina","Se eu errar, a máquina bloqueia?","Não. Você pode cancelar e tentar de novo sem risco de bloqueio."
"uso da máquina","Consigo comprar mais de um refrigerante sem começar tudo de novo?","Cada compra precisa ser reiniciada, mas o processo é rápido e fácil de repetir."
"uso da máquina","Essas máquinas são todas iguais?","A interface pode variar um pouco, mas o funcionamento básico é sempre o mesmo."
"uso da máquina","As instruções da máquina são atualizadas?","Sim, atualizações podem ser feitas remotamente para melhorar a experiência do usuário."
"uso da máquina","É possível usar com crianças por perto?","Sim, mas recomenda-se que um adulto supervisione a operação para evitar toques acidentais."
"uso da máquina","A máquina mostra tempo restante da operação?","Algumas versões mostram uma barra de progresso ou contagem regressiva na tela."
"uso da máquina","Posso testar a máquina sem comprar nada?","Você pode navegar pelas opções e cancelar antes de pagar, sem custo."
"falhas","O refrigerante não saiu depois que paguei.","Desculpe pelo transtorno. Por favor, anote o horário e o local da máquina e entre em contato com nosso suporte para reembolso."
"falhas","A tela da máquina congelou do nada.","Pode ser uma falha temporária. Aguarde alguns segundos ou procure outra unidade próxima."
"falhas","A máquina travou depois da seleção do produto.","Isso pode ocorrer em caso de falha no sistema. Evite pagar e reinicie o processo se possível."
"falhas","Paguei e a máquina não respondeu mais.","Anote o horário e procure o suporte com o comprovante para verificarmos o ocorrido."
"falhas","O visor apagou no meio da compra.","Isso pode ser falha de energia ou reinicialização do sistema. Não continue o pagamento e avise o suporte."
"falhas","Toquei na tela e nada aconteceu.","Pode estar em modo de espera ou com problema técnico. Tente novamente ou utilize outra máquina."
"falhas","Escolhi o refri e a tela ficou preta.","Houve uma falha na interface. Recomendamos não prosseguir com o pagamento e relatar o problema."
"falhas","A máquina não reconheceu meu pagamento.","Se o valor foi debitado, guarde o comprovante e contate nosso suporte imediatamente."
"falhas","A tela mostra erro toda vez que escolho um produto.","Isso pode indicar falha no sistema de seleção. Evite usar essa máquina por enquanto."
"falhas","A máquina desligou depois que coloquei o dinheiro.","Isso não deveria acontecer. Anote todos os dados e envie ao suporte para análise."
"falhas","O produto ficou preso dentro da máquina.","Isso pode acontecer ocasionalmente. Informe o suporte com horário e local para compensação."
"falhas","A máquina me cobrou, mas nada foi entregue.","Recomendamos acionar o suporte com o comprovante de pagamento para correção."
"falhas","O visor mostra um código de erro que não entendo.","Anote o código e entre em contato com o suporte para orientações específicas."
"falhas","Apareceu uma mensagem de 'falha na liberação'.","Isso indica que o produto não pôde ser entregue. Solicite reembolso ou nova tentativa."
"falhas","O visor ficou travado com a imagem do refri.","Tente reiniciar o processo. Se não funcionar, a máquina pode estar com falha no software."
"falhas","A tela reinicia o tempo todo sozinha.","Esse comportamento é anormal. Evite o uso e reporte ao suporte técnico."
"falhas","A máquina fez barulho mas não caiu nada.","É possível que o produto tenha travado. Aguarde alguns segundos ou contate o suporte."
"falhas","A luz da máquina apagou e não voltou.","Isso pode ser queda de energia. A máquina voltará a funcionar após o restabelecimento."
"falhas","Depois de pagar, a tela ficou em branco.","Aguarde alguns instantes. Se o refrigerante não for entregue, contate o suporte com os dados."
"falhas","Apareceu 'Erro de sistema' na tela.","Não prossiga com o pagamento. Relate o erro ao suporte informando o horário e local."
"falhas","Meu cartão foi cobrado, mas a máquina não liberou nada.","Lamentamos o ocorrido. Envie o comprovante ao suporte para análise e possível reembolso."
"falhas","A máquina travou na tela de carregamento.","Aguarde alguns segundos ou reinicie o processo. Se persistir, evite utilizar a máquina."
"falhas","O visor congelou na tela inicial.","Toques sucessivos podem causar lentidão. Tente novamente após alguns segundos."
"falhas","Depois de selecionar, a máquina não foi pro pagamento.","Isso indica falha na transição. Refaça o processo ou use outra unidade."
"falhas","O visor está cheio de linhas e falhas gráficas.","Pode ser problema no display. Evite usar e informe a localização da máquina."
"falhas","A máquina não reconheceu o toque.","Use a parte macia do dedo e pressione levemente. Se não funcionar, pode ser falha no sensor."
"falhas","A máquina aceitou o dinheiro, mas não reagiu.","Se o valor não for devolvido nem o produto entregue, contate o suporte com os dados."
"falhas","A tela não mostra nenhuma informação.","Pode estar desligada ou com falha. Não tente pagar e informe o problema."
"falhas","A seleção sumiu antes de eu pagar.","Pode ter ocorrido uma reinicialização. Reinicie o processo ou espere alguns segundos."
"falhas","Depois que escolhi o produto, tudo apagou.","Evite tentar novamente. Verifique se o pagamento foi efetuado e fale com o suporte."
"falhas","Oi, a máquina travou bem na hora que ia pegar o refri.","Poxa, que chato! Pode ter sido uma falha no sistema. Se você pagou, guarde o comprovante e fale com o suporte."
"falhas","Tô aqui esperando e nada do refrigerante cair.","Pode ser um atraso ou falha. Verifique se o pagamento foi aprovado e procure o suporte se o produto não sair."
"falhas","Ué, paguei e a máquina ficou muda.","Isso não é normal. Veja se a tela voltou ou se o produto foi liberado. Senão, anote o horário e informe o suporte."
"falhas","Essa máquina aqui parou do nada.","Pode ter reiniciado automaticamente ou sofrido alguma falha. Aguarde alguns minutos ou procure outra unidade."
"falhas","Fiz Pix e a tela ficou preta. E agora?","Guarde o comprovante e não tente repetir o processo. Fale com o suporte técnico da máquina."
"falhas","Apertei no sabor e a máquina simplesmente travou.","Pode ter havido um erro no sistema. Refaça o processo ou utilize outra máquina se disponível."
"falhas","Apareceu uma mensagem estranha e nada mais.","Essas mensagens são erros do sistema. Anote o conteúdo e fale com o suporte técnico."
"falhas","Essa máquina bugou. Não responde a nada.","Toques repetidos podem causar travamentos. Tente aguardar 1 minuto ou reiniciar a operação."
"falhas","Paguei com cartão e não aconteceu nada.","Verifique se o débito foi feito. Se sim, entre em contato com o suporte com o comprovante em mãos."
"falhas","A tela tá preta e eu não sei se a máquina tá ligada.","Pode estar desligada ou em modo de economia de energia. Toque suavemente ou procure assistência."
"falhas","O refri ficou preso dentro da máquina.","Infelizmente isso pode acontecer. Informe o suporte com a localização e horário da compra."
"falhas","A máquina fez barulho, mas não caiu nada.","Pode ser falha no mecanismo de liberação. Aguarde e, se não cair, registre o ocorrido com o suporte."
"falhas","Tentei duas vezes e deu erro nas duas.","Não continue tentando para evitar cobranças duplicadas. Contate o suporte com os detalhes da tentativa."
"falhas","Depois que paguei, a máquina travou total.","Anote o local, horário e tipo de pagamento. Isso ajuda no processo de reembolso com o suporte."
"falhas","Essa máquina sempre trava, é normal?","Não deveria. Reporte ao suporte para que a manutenção possa verificar e corrigir o problema."
"falhas","Cliquei, paguei, e nada caiu.","Verifique se o valor foi debitado. Se sim, envie o comprovante ao nosso suporte para análise."
"falhas","A tela bugou tudo, cheia de risquinho.","Falha gráfica detectada. Evite usar e informe ao suporte a localização da máquina."
"falhas","O visor tá piscando igual árvore de Natal.","Provavelmente falha de energia ou sistema. Evite usar até normalizar."
"falhas","Pensei que o refri tinha caído, mas nada.","Espere um pouco e veja se não ficou preso. Caso contrário, entre em contato com o suporte."
"falhas","Essa máquina me cobrou e não deu nada de volta.","Sinto muito! Guarde o comprovante e entre em contato com nosso time de suporte para resolver."
"falhas","A máquina travou logo depois de eu pagar com Pix.","Guarde o comprovante e entre em contato com o suporte imediatamente para resolvermos o problema."
"falhas","O visor ficou azul com um código estranho.","Esse código é um erro interno. Anote e envie para o suporte técnico junto com o horário do ocorrido."
"falhas","Paguei com cartão e o visor mostrou 'erro de sistema'.","Se houve cobrança, envie o extrato ao suporte para reembolso ou nova tentativa."
"falhas","A tela não mostra mais os sabores, só o fundo.","Pode ter havido falha no carregamento. Evite o uso até a equipe técnica revisar."
"falhas","O botão de escolha está travado e não responde.","Esse problema ocorre em alguns modelos antigos. Use o botão de reinício ou aguarde a reinicialização."
"falhas","A tela apagou assim que confirmei o pagamento.","Pode ser queda de energia. Verifique se o produto foi entregue e entre em contato com o suporte."
"falhas","Depois que escolhi o sabor, tudo travou.","Isso indica erro na transição de etapas. Aguarde ou tente reiniciar o processo."
"falhas","A máquina reiniciou sozinha depois do pagamento.","Anote o horário e envie ao suporte junto com o comprovante para análise e compensação."
"falhas","A tela mostra 'produto indisponível' pra todos os sabores.","Pode ser falta de estoque ou falha no sistema. Evite o uso por enquanto."
"falhas","O visor ficou cinza e congelado.","Falha na interface. Tente reiniciar ou procure outra máquina até que a manutenção seja feita."
"falhas","Cliquei pra escolher e o visor travou na imagem.","O sistema pode ter travado ao carregar o menu. Aguarde alguns segundos ou reinicie."
"falhas","A máquina engoliu meu dinheiro e ficou parada.","Lamentamos o transtorno. Informe ao suporte com o valor inserido e o local da máquina."
"falhas","Fiz tudo certo, mas a tela voltou ao início sozinha.","Pode ter ocorrido um erro de tempo de resposta. Tente refazer a operação."
"falhas","Apareceu 'falha no motor' no visor.","Esse erro técnico impede a liberação do produto. Por favor, informe ao suporte com urgência."
"falhas","A máquina tá ligada mas não reage a nada.","Isso pode indicar travamento do sistema. Evite usar e reporte o defeito."
"falhas","A tela pulou direto pro fim sem eu escolher.","Erro de entrada detectado. Refaça a operação ou use outra máquina."
"falhas","A máquina está emitindo um som estranho.","Isso pode indicar problema mecânico. Evite o uso e comunique à equipe de manutenção."
"falhas","A tela ficou invertida, não dá pra entender nada.","Esse erro de display exige reinicialização. Por segurança, não use a máquina."
"falhas","Depois que paguei, não teve nem som nem luz.","Verifique se o refrigerante foi liberado. Se não, contate o suporte com os dados."
"falhas","A máquina tá em loop, liga e desliga sozinha.","Falha crítica. Afaste-se e não tente interagir até que o suporte técnico resolva."
"falhas","O visor piscou e desligou no meio da compra.","Não insira nenhum valor ou cartão até que a máquina seja reiniciada com segurança."
"falhas","A seleção travou no último sabor da lista.","Erro comum em máquinas mais antigas. Tente reiniciar ou usar outra unidade."
"falhas","A máquina travou logo após escolher a forma de pagamento.","Esse erro bloqueia a etapa final. Anote o que foi escolhido e informe ao suporte."
"falhas","O visor ficou cheio de símbolos esquisitos.","Isso indica corrupção no sistema visual. Não use a máquina e avise o suporte."
"falhas","A máquina não libera o produto mesmo com tudo certo.","Erro na liberação física. Anote o horário e entre em contato com o suporte para correção."
"falhas","Tudo parecia normal, mas o refrigerante não caiu.","Houve falha mecânica na entrega. Verifique o compartimento e acione o suporte."
"falhas","O visor congelou com a mensagem 'finalizando'.","Espere 30 segundos. Se não mudar, evite novos toques e informe o suporte."
"falhas","A máquina me cobrou duas vezes por erro no visor.","Se você tiver sido cobrado em duplicidade, envie ambos os comprovantes ao suporte para análise."
"falhas","Paguei e a máquina reiniciou do nada.","Esse comportamento anormal exige investigação técnica. Envie o comprovante ao nosso canal de atendimento."
"falhas","Apareceu 'erro de memória' no visor.","Esse tipo de erro impede o funcionamento. Não tente usar e aguarde a equipe técnica."
"falhas","Essas máquinas costumam travar muito?","Não. Travamentos são raros, mas podem ocorrer por atualização, energia instável ou uso contínuo."
"falhas","E se a máquina travar justo quando eu estiver pagando?","Se isso acontecer, guarde o comprovante e entre em contato com o suporte para análise e reembolso."
"falhas","A máquina pode falhar se estiver chovendo?","Nossas máquinas são preparadas para resistir a ambientes externos, mas podem ser afetadas por problemas de energia."
"falhas","Se faltar luz no meio da compra, eu perco o dinheiro?","Se o pagamento foi processado, entre em contato com o suporte e informe o ocorrido. Vamos investigar e compensar se necessário."
"falhas","É comum o produto não cair mesmo com tudo certo?","É incomum, mas pode ocorrer por travamento interno. Nestes casos, oferecemos reembolso com base no registro da operação."
"falhas","A máquina tem algum sistema de segurança contra falhas?","Sim. Ela reinicia automaticamente em caso de falha e registra todas as operações para auditoria."
"falhas","O visor fica estranho às vezes, é normal?","Pequenas falhas visuais podem ocorrer por temperatura ou uso prolongado. Se persistirem, informe ao suporte."
"falhas","Se o refrigerante cair mas a lata estiver danificada, posso reclamar?","Sim, claro. Guarde a embalagem e envie uma foto ao suporte. Analisaremos o caso."
"falhas","Tem como saber se a máquina está com defeito antes de usar?","Geralmente a tela exibe uma mensagem de erro ou fica inativa quando há problemas. Evite usar em caso de dúvidas."
"falhas","A máquina avisa quando não está funcionando?","Sim. Em caso de falha grave, ela mostra mensagens como 'fora de serviço' ou desliga automaticamente."
"falhas","Essas falhas danificam o cartão ou o celular?","Não. As leituras são digitais e seguras. Mesmo em falhas, o cartão e os dados permanecem protegidos."
"falhas","Tem algum aviso sonoro quando a máquina falha?","Alguns modelos emitem sons quando há erro. Em outros, o visor mostra o aviso em texto."
"falhas","O suporte responde rápido em caso de falha?","Sim. Nosso time de suporte está disponível para auxiliar e costuma responder em poucas horas úteis."
"falhas","Vocês conseguem saber se a máquina travou sem eu avisar?","Em alguns casos, sim. Nossas máquinas enviam alertas automáticos, mas sua notificação ajuda muito."
"falhas","Posso tentar usar a máquina de novo após uma falha?","Sim, mas recomendamos aguardar 1 minuto ou procurar outra unidade para evitar duplicidade de cobrança."
"falhas","Essas falhas são perigosas pro usuário?","Não. As máquinas são projetadas para desligar em caso de risco. O máximo que pode ocorrer é perda do produto, não danos físicos."
"falhas","Se algo der errado, perco o dinheiro na hora?","Se o produto não for entregue e o pagamento confirmado, você pode solicitar reembolso total."
"falhas","Esses erros são corrigidos com frequência?","Sim. As máquinas passam por manutenção e atualização de software constantemente."
"falhas","A máquina pode engolir o cartão?","Não. As leitoras são por chip, tarja ou aproximação. O cartão nunca entra totalmente na máquina."
"falhas","Tem como testar a máquina antes de usar?","Você pode explorar o menu e opções sem pagar. Só haverá cobrança após a confirmação da compra."
"reembolso","Como posso pedir reembolso se a máquina falhar?","Você pode solicitar reembolso entrando em contato com nosso suporte e informando data, hora e local da compra, além do comprovante de pagamento."
"reembolso","O que eu faço se paguei e não recebi o refrigerante?","Entre em contato com o suporte informando os detalhes da compra. Avaliaremos o caso e faremos o reembolso se necessário."
"reembolso","A máquina travou e não entregou o produto. Posso ter o dinheiro de volta?","Sim. Guarde o comprovante de pagamento e envie para nosso suporte junto com os dados da máquina."
"reembolso","Vocês devolvem o dinheiro se a máquina não funcionar?","Sim, desde que a falha seja confirmada e o pagamento tenha sido processado. Basta acionar o suporte com os dados da compra."
"reembolso","O reembolso é feito automaticamente?","Não. É necessário entrar em contato com o suporte para abrir uma solicitação formal de reembolso."
"reembolso","Quanto tempo demora pra receber o reembolso?","Normalmente o prazo é de até 7 dias úteis, após a análise do caso e validação das informações."
"reembolso","É possível receber crédito em vez de dinheiro?","Sim. Em alguns casos, oferecemos crédito para nova compra em vez de reembolso em dinheiro."
"reembolso","Perdi meu dinheiro na máquina, e agora?","Lamentamos o ocorrido. Envie os dados do ocorrido ao suporte, incluindo horário e forma de pagamento, para análise do reembolso."
"reembolso","Quais informações preciso para solicitar o reembolso?","Você precisará do comprovante de pagamento, data, horário e local da máquina em que a falha ocorreu."
"reembolso","Se eu pagar duas vezes, vocês devolvem?","Sim. Se for comprovado pagamento duplicado, um dos valores será reembolsado."
"reembolso","Tem taxa para pedir reembolso?","Não. O reembolso é gratuito e garantido em casos de erro comprovado na operação."
"reembolso","Como recebo o valor de volta?","O valor pode ser devolvido via transferência bancária, estorno no cartão ou crédito para nova compra, dependendo do caso."
"reembolso","Se paguei com Pix, como é feito o reembolso?","Você deve enviar o comprovante da transação e uma chave Pix válida para devolução."
"reembolso","E se eu paguei com dinheiro, como funciona o reembolso?","Nesse caso, o suporte analisará o relato e, se aprovado, realizará a devolução por meio digital (Pix ou transferência)."
"reembolso","O que acontece se eu não tiver o comprovante?","O processo pode ser mais demorado. Recomendamos sempre guardar o comprovante para facilitar a análise."
"reembolso","Vocês reembolsam até qual valor?","Reembolsamos o valor integral da compra, desde que haja comprovação do problema."
"reembolso","Posso pedir reembolso direto na máquina?","Não. A solicitação deve ser feita pelos canais de suporte disponíveis (telefone, e-mail ou app)."
"reembolso","É obrigatório ter CPF para pedir reembolso?","Não, mas pode ser solicitado um dado de identificação para garantir a segurança no processo."
"reembolso","Se o refrigerante caiu amassado, posso pedir reembolso?","Sim. Envie uma foto do produto danificado junto com as informações da compra para avaliação."
"reembolso","O reembolso é sempre aprovado?","A solicitação passa por análise. Se for confirmada a falha, o valor é devolvido integralmente."
"reembolso","Posso receber o valor de volta no meu cartão?","Sim, se a compra foi feita com cartão, o estorno será processado na mesma fatura."
"reembolso","E se a máquina cobrar e depois devolver o dinheiro, ainda posso pedir reembolso?","Se o valor já foi devolvido automaticamente, não é necessário solicitar reembolso."
"reembolso","Onde encontro o número da máquina para informar no reembolso?","Ele está localizado em uma etiqueta próxima ao visor ou impressa no corpo da máquina."
"reembolso","Tem formulário específico para pedir reembolso?","Sim. O suporte fornece um link ou formulário para preenchimento da solicitação."
"reembolso","Preciso falar com alguém pra pedir reembolso?","Você pode fazer a solicitação por e-mail, aplicativo ou telefone, dependendo do canal disponível."
"reembolso","Como sei se meu pedido de reembolso foi aceito?","Você receberá uma confirmação por e-mail ou mensagem após a análise da solicitação."
"reembolso","Vocês têm registro da compra mesmo se eu não tiver o comprovante?","Sim, mas a verificação é mais rápida com o comprovante. Em casos sem ele, a análise pode demorar mais."
"reembolso","Se eu for embora e esquecer de pedir reembolso na hora, ainda posso?","Sim, desde que você guarde os dados da compra, é possível solicitar dentro de alguns dias."
"reembolso","Posso pedir reembolso por erro de sabor?","Sim, se você recebeu um produto diferente do selecionado. Registre o erro com foto e envie ao suporte."
"reembolso","Se eu errar na escolha e pagar, ainda dá pra pedir reembolso?","Infelizmente não reembolsamos erros de escolha confirmados pelo usuário. O reembolso cobre falhas técnicas."
"reembolso","Oi, paguei e a máquina não deu o refri. Consigo o dinheiro de volta?","Sim! É só entrar em contato com nosso suporte e informar o que aconteceu. A gente te ajuda a resolver."
"reembolso","Fiz Pix e não caiu nada. Como faço pra ser reembolsado?","Guarde o comprovante e mande pra gente no suporte. A gente devolve o valor certinho."
"reembolso","A máquina bugou e perdi meu dinheiro. Tem jeito de recuperar?","Claro! Se você tiver os dados da compra, conseguimos analisar e reembolsar."
"reembolso","Tem como pedir reembolso pelo celular mesmo?","Sim, você pode mandar mensagem pelo app, e-mail ou site. É simples e rápido!"
"reembolso","Tentei duas vezes e cobrou as duas. Vocês devolvem uma?","Devolvemos sim! Envia os dois comprovantes pro suporte que a gente faz o estorno."
"reembolso","Esqueci de pegar o refri. Dá pra pedir reembolso mesmo assim?","Infelizmente não. O reembolso só vale se houve erro da máquina ou falha técnica."
"reembolso","O refrigerante saiu todo amassado. Dá pra trocar ou reembolsar?","Sim! Manda uma foto da lata e os dados da compra pra gente avaliar o caso."
"reembolso","Tô sem o comprovante. Ainda consigo reembolso?","Consegue sim, mas pode demorar um pouco mais. Se lembrar da hora e local, já ajuda bastante."
"reembolso","Dá pra escolher entre receber o dinheiro de volta ou crédito?","Em alguns casos, sim. A gente te oferece as opções no atendimento."
"reembolso","Paguei com cartão, o estorno vem quando?","Geralmente cai na próxima fatura. Depende da operadora, mas pode levar até 7 dias úteis."
"reembolso","Com Pix o dinheiro volta no mesmo dia?","Se a análise for rápida e tudo estiver certo, o valor pode ser devolvido em até 24 horas."
"reembolso","Fiquei sem meu refri e sem meu troco. O que eu faço?","Manda os detalhes pro suporte que a gente verifica e devolve o valor certinho."
"reembolso","Tem como pedir reembolso pelo WhatsApp?","Se esse canal estiver disponível, sim! Verifique no visor da máquina ou no nosso site."
"reembolso","Pedi reembolso ontem, mas não recebi nada ainda.","O prazo é de até 7 dias úteis. Caso passe disso, pode entrar em contato de novo com a gente."
"reembolso","A máquina cobrou errado. Vocês conferem isso mesmo?","Sim. A gente tem o registro de todas as transações pra confirmar cada caso."
"reembolso","Tem um limite de quantos reembolsos posso pedir?","Não, mas todos os pedidos passam por análise para garantir que são legítimos."
"reembolso","Já pedi reembolso uma vez. Posso pedir de novo se der erro?","Claro. Toda falha técnica tem direito a nova solicitação, sem problema nenhum."
"reembolso","Vocês mandam mensagem avisando quando o reembolso cair?","Sim! Você recebe um e-mail ou mensagem informando quando o processo for concluído."
"reembolso","Já saí do local. Ainda posso pedir reembolso?","Pode sim! Só precisa lembrar o horário, a máquina usada e ter o comprovante, se possível."
"reembolso","Se eu errar o sabor e não quiser mais, consigo reembolso?","Não. O reembolso é válido para falhas da máquina, não para erros de escolha do cliente."
"reembolso","A máquina não liberou o refrigerante, mas o Pix foi debitado.","Guarde o comprovante e envie para nosso suporte. Vamos verificar a transação e realizar o reembolso."
"reembolso","Fiz o pagamento e a máquina desligou. Como pedir reembolso?","Anote a hora, local e forma de pagamento. Envie essas informações com o comprovante ao nosso suporte."
"reembolso","Apareceu erro no visor logo após o pagamento.","Se o produto não foi entregue, envie os dados da compra ao suporte para análise do reembolso."
"reembolso","Paguei duas vezes por causa de travamento na tela.","Informe os dois comprovantes e o horário das tentativas para que o suporte possa reembolsar uma delas."
"reembolso","O visor travou na tela de escolha e não consegui pegar o refri.","Se houve cobrança, entre em contato com o suporte informando a falha e os dados do pagamento."
"reembolso","A máquina comeu meu dinheiro e ficou travada.","Envie o horário, valor inserido e a identificação da máquina para que o suporte avalie o reembolso."
"reembolso","O refri não caiu e a máquina reiniciou sozinha.","Relate o ocorrido ao suporte com o comprovante. A falha será analisada e, se confirmada, o valor será devolvido."
"reembolso","Paguei no cartão, a máquina travou e não entregou nada.","Solicite o reembolso com o extrato da transação e as informações do local da compra."
